,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
3,Milan,45.4642,9.19,19790101,1200,2 metre temperature,2t,35.0279,45.75,9.0,273.7670440673828
7,Milan,45.4642,9.19,19790102,1200,2 metre temperature,2t,35.0279,45.75,9.0,264.6186981201172
11,Milan,45.4642,9.19,19790103,1200,2 metre temperature,2t,35.0279,45.75,9.0,267.92727661132807
15,Milan,45.4642,9.19,19790104,1200,2 metre temperature,2t,35.0279,45.75,9.0,265.3324737548828
19,Milan,45.4642,9.19,19790105,1200,2 metre temperature,2t,35.0279,45.75,9.0,269.205307006836
23,Milan,45.4642,9.19,19790106,1200,2 metre temperature,2t,35.0279,45.75,9.0,271.52734375
27,Milan,45.4642,9.19,19790107,1200,2 metre temperature,2t,35.0279,45.75,9.0,271.982666015625
31,Milan,45.4642,9.19,19790108,1200,2 metre temperature,2t,35.0279,45.75,9.0,269.8740234375
35,Milan,45.4642,9.19,19790109,1200,2 metre temperature,2t,35.0279,45.75,9.0,270.689208984375
39,Milan,45.4642,9.19,19790110,1200,2 metre temperature,2t,35.0279,45.75,9.0,273.685546875
43,Milan,45.4642,9.19,19790111,1200,2 metre temperature,2t,35.0279,45.75,9.0,272.787353515625
47,Milan,45.4642,9.19,19790112,1200,2 metre temperature,2t,35.0279,45.75,9.0,273.11181640625
51,Milan,45.4642,9.19,19790113,1200,2 metre temperature,2t,35.0279,45.75,9.0,271.87255859375
55,Milan,45.4642,9.19,19790114,1200,2 metre temperature,2t,35.0279,45.75,9.0,270.5478515625
59,Milan,45.4642,9.19,19790115,1200,2 metre temperature,2t,35.0279,45.75,9.0,270.1219482421875
63,Milan,45.4642,9.19,19790116,1200,2 metre temperature,2t,35.0279,45.75,9.0,268.6416015625
67,Milan,45.4642,9.19,19790117,1200,2 metre temperature,2t,35.0279,45.75,9.0,268.610595703125
71,Milan,45.4642,9.19,19790118,1200,2 metre temperature,2t,35.0279,45.75,9.0,266.17236328125
75,Milan,45.4642,9.19,19790119,1200,2 metre temperature,2t,35.0279,45.75,9.0,267.565185546875
79,Milan,45.4642,9.19,19790120,1200,2 metre temperature,2t,35.0279,45.75,9.0,270.60302734375
83,Milan,45.4642,9.19,19790121,1200,2 metre temperature,2t,35.0279,45.75,9.0,274.439697265625
87,Milan,45.4642,9.19,19790122,1200,2 metre temperature,2t,35.0279,45.75,9.0,272.993896484375
91,Milan,45.4642,9.19,19790123,1200,2 metre temperature,2t,35.0279,45.75,9.0,274.34521484375
95,Milan,45.4642,9.19,19790124,1200,2 metre temperature,2t,35.0279,45.75,9.0,277.021728515625
99,Milan,45.4642,9.19,19790125,1200,2 metre temperature,2t,35.0279,45.75,9.0,274.512451171875
103,Milan,45.4642,9.19,19790126,1200,2 metre temperature,2t,35.0279,45.75,9.0,272.8159942626953
107,Milan,45.4642,9.19,19790127,1200,2 metre temperature,2t,35.0279,45.75,9.0,274.1648712158203
111,Milan,45.4642,9.19,19790128,1200,2 metre temperature,2t,35.0279,45.75,9.0,277.1948699951172
115,Milan,45.4642,9.19,19790129,1200,2 metre temperature,2t,35.0279,45.75,9.0,277.19244384765625
119,Milan,45.4642,9.19,19790130,1200,2 metre temperature,2t,35.0279,45.75,9.0,276.0081787109375
123,Milan,45.4642,9.19,19790131,1200,2 metre temperature,2t,35.0279,45.75,9.0,276.79605102539057
127,Milan,45.4642,9.19,19790201,1200,2 metre temperature,2t,35.0279,45.75,9.0,273.2275390625
131,Milan,45.4642,9.19,19790202,1200,2 metre temperature,2t,35.0279,45.75,9.0,274.44873046875
135,Milan,45.4642,9.19,19790203,1200,2 metre temperature,2t,35.0279,45.75,9.0,277.664306640625
139,Milan,45.4642,9.19,19790204,1200,2 metre temperature,2t,35.0279,45.75,9.0,279.429931640625
143,Milan,45.4642,9.19,19790205,1200,2 metre temperature,2t,35.0279,45.75,9.0,276.3349609375
147,Milan,45.4642,9.19,19790206,1200,2 metre temperature,2t,35.0279,45.75,9.0,279.539306640625
151,Milan,45.4642,9.19,19790207,1200,2 metre temperature,2t,35.0279,45.75,9.0,273.9814453125
155,Milan,45.4642,9.19,19790208,1200,2 metre temperature,2t,35.0279,45.75,9.0,278.7197265625
159,Milan,45.4642,9.19,19790209,1200,2 metre temperature,2t,35.0279,45.75,9.0,275.34423828125
163,Milan,45.4642,9.19,19790210,1200,2 metre temperature,2t,35.0279,45.75,9.0,274.54736328125
167,Milan,45.4642,9.19,19790211,1200,2 metre temperature,2t,35.0279,45.75,9.0,275.133056640625
171,Milan,45.4642,9.19,19790212,1200,2 metre temperature,2t,35.0279,45.75,9.0,278.521240234375
175,Milan,45.4642,9.19,19790213,1200,2 metre temperature,2t,35.0279,45.75,9.0,280.8651123046875
179,Milan,45.4642,9.19,19790214,1200,2 metre temperature,2t,35.0279,45.75,9.0,280.3017120361328
183,Milan,45.4642,9.19,19790215,1200,2 metre temperature,2t,35.0279,45.75,9.0,278.2378692626953
187,Milan,45.4642,9.19,19790216,1200,2 metre temperature,2t,35.0279,45.75,9.0,277.663330078125
191,Milan,45.4642,9.19,19790217,1200,2 metre temperature,2t,35.0279,45.75,9.0,276.708251953125
195,Milan,45.4642,9.19,19790218,1200,2 metre temperature,2t,35.0279,45.75,9.0,279.531005859375
199,Milan,45.4642,9.19,19790219,1200,2 metre temperature,2t,35.0279,45.75,9.0,275.2431640625
203,Milan,45.4642,9.19,19790220,1200,2 metre temperature,2t,35.0279,45.75,9.0,276.432861328125
207,Milan,45.4642,9.19,19790221,1200,2 metre temperature,2t,35.0279,45.75,9.0,274.3447265625
211,Milan,45.4642,9.19,19790222,1200,2 metre temperature,2t,35.0279,45.75,9.0,275.47021484375
215,Milan,45.4642,9.19,19790223,1200,2 metre temperature,2t,35.0279,45.75,9.0,273.89892578125
219,Milan,45.4642,9.19,19790224,1200,2 metre temperature,2t,35.0279,45.75,9.0,276.542236328125
223,Milan,45.4642,9.19,19790225,1200,2 metre temperature,2t,35.0279,45.75,9.0,276.888671875
227,Milan,45.4642,9.19,19790226,1200,2 metre temperature,2t,35.0279,45.75,9.0,274.12939453125
231,Milan,45.4642,9.19,19790227,1200,2 metre temperature,2t,35.0279,45.75,9.0,273.98681640625
235,Milan,45.4642,9.19,19790228,1200,2 metre temperature,2t,35.0279,45.75,9.0,272.234130859375
239,Milan,45.4642,9.19,19790301,1200,2 metre temperature,2t,35.0279,45.75,9.0,272.272216796875
243,Milan,45.4642,9.19,19790302,1200,2 metre temperature,2t,35.0279,45.75,9.0,278.5615234375
247,Milan,45.4642,9.19,19790303,1200,2 metre temperature,2t,35.0279,45.75,9.0,280.650146484375
251,Milan,45.4642,9.19,19790304,1200,2 metre temperature,2t,35.0279,45.75,9.0,282.5556640625
255,Milan,45.4642,9.19,19790305,1200,2 metre temperature,2t,35.0279,45.75,9.0,282.595703125
259,Milan,45.4642,9.19,19790306,1200,2 metre temperature,2t,35.0279,45.75,9.0,280.5927734375
263,Milan,45.4642,9.19,19790307,1200,2 metre temperature,2t,35.0279,45.75,9.0,280.0791015625
267,Milan,45.4642,9.19,19790308,1200,2 metre temperature,2t,35.0279,45.75,9.0,281.18701171875
271,Milan,45.4642,9.19,19790309,1200,2 metre temperature,2t,35.0279,45.75,9.0,279.3525390625
275,Milan,45.4642,9.19,19790310,1200,2 metre temperature,2t,35.0279,45.75,9.0,281.310546875
279,Milan,45.4642,9.19,19790311,1200,2 metre temperature,2t,35.0279,45.75,9.0,279.398681640625
283,Milan,45.4642,9.19,19790312,1200,2 metre temperature,2t,35.0279,45.75,9.0,285.30859375
287,Milan,45.4642,9.19,19790313,1200,2 metre temperature,2t,35.0279,45.75,9.0,284.463134765625
291,Milan,45.4642,9.19,19790314,1200,2 metre temperature,2t,35.0279,45.75,9.0,279.57275390625
295,Milan,45.4642,9.19,19790315,1200,2 metre temperature,2t,35.0279,45.75,9.0,278.163818359375
299,Milan,45.4642,9.19,19790316,1200,2 metre temperature,2t,35.0279,45.75,9.0,279.445556640625
303,Milan,45.4642,9.19,19790317,1200,2 metre temperature,2t,35.0279,45.75,9.0,279.151123046875
307,Milan,45.4642,9.19,19790318,1200,2 metre temperature,2t,35.0279,45.75,9.0,276.693115234375
311,Milan,45.4642,9.19,19790319,1200,2 metre temperature,2t,35.0279,45.75,9.0,279.39453125
315,Milan,45.4642,9.19,19790320,1200,2 metre temperature,2t,35.0279,45.75,9.0,278.63330078125
319,Milan,45.4642,9.19,19790321,1200,2 metre temperature,2t,35.0279,45.75,9.0,279.265869140625
323,Milan,45.4642,9.19,19790322,1200,2 metre temperature,2t,35.0279,45.75,9.0,281.739013671875
327,Milan,45.4642,9.19,19790323,1200,2 metre temperature,2t,35.0279,45.75,9.0,283.087646484375
331,Milan,45.4642,9.19,19790324,1200,2 metre temperature,2t,35.0279,45.75,9.0,281.59619140625
335,Milan,45.4642,9.19,19790325,1200,2 metre temperature,2t,35.0279,45.75,9.0,278.06884765625
339,Milan,45.4642,9.19,19790326,1200,2 metre temperature,2t,35.0279,45.75,9.0,278.40087890625
343,Milan,45.4642,9.19,19790327,1200,2 metre temperature,2t,35.0279,45.75,9.0,282.72607421875
347,Milan,45.4642,9.19,19790328,1200,2 metre temperature,2t,35.0279,45.75,9.0,277.42431640625
351,Milan,45.4642,9.19,19790329,1200,2 metre temperature,2t,35.0279,45.75,9.0,277.7666015625
355,Milan,45.4642,9.19,19790330,1200,2 metre temperature,2t,35.0279,45.75,9.0,279.532470703125
359,Milan,45.4642,9.19,19790331,1200,2 metre temperature,2t,35.0279,45.75,9.0,280.9638671875
363,Milan,45.4642,9.19,19790401,1200,2 metre temperature,2t,35.0279,45.75,9.0,281.4619140625
367,Milan,45.4642,9.19,19790402,1200,2 metre temperature,2t,35.0279,45.75,9.0,282.858642578125
371,Milan,45.4642,9.19,19790403,1200,2 metre temperature,2t,35.0279,45.75,9.0,280.78955078125
375,Milan,45.4642,9.19,19790404,1200,2 metre temperature,2t,35.0279,45.75,9.0,281.53173828125
379,Milan,45.4642,9.19,19790405,1200,2 metre temperature,2t,35.0279,45.75,9.0,277.18115234375
383,Milan,45.4642,9.19,19790406,1200,2 metre temperature,2t,35.0279,45.75,9.0,278.63134765625
387,Milan,45.4642,9.19,19790407,1200,2 metre temperature,2t,35.0279,45.75,9.0,281.626708984375
391,Milan,45.4642,9.19,19790408,1200,2 metre temperature,2t,35.0279,45.75,9.0,282.907958984375
395,Milan,45.4642,9.19,19790409,1200,2 metre temperature,2t,35.0279,45.75,9.0,282.194580078125
399,Milan,45.4642,9.19,19790410,1200,2 metre temperature,2t,35.0279,45.75,9.0,283.177001953125
403,Milan,45.4642,9.19,19790411,1200,2 metre temperature,2t,35.0279,45.75,9.0,279.686279296875
407,Milan,45.4642,9.19,19790412,1200,2 metre temperature,2t,35.0279,45.75,9.0,284.062255859375
411,Milan,45.4642,9.19,19790413,1200,2 metre temperature,2t,35.0279,45.75,9.0,284.450927734375
415,Milan,45.4642,9.19,19790414,1200,2 metre temperature,2t,35.0279,45.75,9.0,285.53857421875
419,Milan,45.4642,9.19,19790415,1200,2 metre temperature,2t,35.0279,45.75,9.0,288.452880859375
423,Milan,45.4642,9.19,19790416,1200,2 metre temperature,2t,35.0279,45.75,9.0,288.51611328125
427,Milan,45.4642,9.19,19790417,1200,2 metre temperature,2t,35.0279,45.75,9.0,280.27392578125
431,Milan,45.4642,9.19,19790418,1200,2 metre temperature,2t,35.0279,45.75,9.0,284.918701171875
435,Milan,45.4642,9.19,19790419,1200,2 metre temperature,2t,35.0279,45.75,9.0,279.8291015625
439,Milan,45.4642,9.19,19790420,1200,2 metre temperature,2t,35.0279,45.75,9.0,283.64892578125
443,Milan,45.4642,9.19,19790421,1200,2 metre temperature,2t,35.0279,45.75,9.0,283.821044921875
447,Milan,45.4642,9.19,19790422,1200,2 metre temperature,2t,35.0279,45.75,9.0,284.502197265625
451,Milan,45.4642,9.19,19790423,1200,2 metre temperature,2t,35.0279,45.75,9.0,282.05029296875
455,Milan,45.4642,9.19,19790424,1200,2 metre temperature,2t,35.0279,45.75,9.0,281.2333984375
459,Milan,45.4642,9.19,19790425,1200,2 metre temperature,2t,35.0279,45.75,9.0,284.337890625
463,Milan,45.4642,9.19,19790426,1200,2 metre temperature,2t,35.0279,45.75,9.0,281.62939453125
467,Milan,45.4642,9.19,19790427,1200,2 metre temperature,2t,35.0279,45.75,9.0,281.82275390625
471,Milan,45.4642,9.19,19790428,1200,2 metre temperature,2t,35.0279,45.75,9.0,284.136962890625
475,Milan,45.4642,9.19,19790429,1200,2 metre temperature,2t,35.0279,45.75,9.0,282.63427734375
479,Milan,45.4642,9.19,19790430,1200,2 metre temperature,2t,35.0279,45.75,9.0,282.50390625
483,Milan,45.4642,9.19,19790501,1200,2 metre temperature,2t,35.0279,45.75,9.0,283.729736328125
487,Milan,45.4642,9.19,19790502,1200,2 metre temperature,2t,35.0279,45.75,9.0,284.37060546875
491,Milan,45.4642,9.19,19790503,1200,2 metre temperature,2t,35.0279,45.75,9.0,280.73828125
495,Milan,45.4642,9.19,19790504,1200,2 metre temperature,2t,35.0279,45.75,9.0,280.251953125
499,Milan,45.4642,9.19,19790505,1200,2 metre temperature,2t,35.0279,45.75,9.0,282.8759765625
503,Milan,45.4642,9.19,19790506,1200,2 metre temperature,2t,35.0279,45.75,9.0,283.801513671875
507,Milan,45.4642,9.19,19790507,1200,2 metre temperature,2t,35.0279,45.75,9.0,285.24609375
511,Milan,45.4642,9.19,19790508,1200,2 metre temperature,2t,35.0279,45.75,9.0,285.17919921875
515,Milan,45.4642,9.19,19790509,1200,2 metre temperature,2t,35.0279,45.75,9.0,288.412109375
519,Milan,45.4642,9.19,19790510,1200,2 metre temperature,2t,35.0279,45.75,9.0,291.05224609375
523,Milan,45.4642,9.19,19790511,1200,2 metre temperature,2t,35.0279,45.75,9.0,291.4736328125
527,Milan,45.4642,9.19,19790512,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.970947265625
531,Milan,45.4642,9.19,19790513,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.555419921875
535,Milan,45.4642,9.19,19790514,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.5654296875
539,Milan,45.4642,9.19,19790515,1200,2 metre temperature,2t,35.0279,45.75,9.0,290.922119140625
543,Milan,45.4642,9.19,19790516,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.31005859375
547,Milan,45.4642,9.19,19790517,1200,2 metre temperature,2t,35.0279,45.75,9.0,290.8388671875
551,Milan,45.4642,9.19,19790518,1200,2 metre temperature,2t,35.0279,45.75,9.0,290.654296875
555,Milan,45.4642,9.19,19790519,1200,2 metre temperature,2t,35.0279,45.75,9.0,291.676025390625
559,Milan,45.4642,9.19,19790520,1200,2 metre temperature,2t,35.0279,45.75,9.0,291.972900390625
563,Milan,45.4642,9.19,19790521,1200,2 metre temperature,2t,35.0279,45.75,9.0,289.088623046875
567,Milan,45.4642,9.19,19790522,1200,2 metre temperature,2t,35.0279,45.75,9.0,290.56494140625
571,Milan,45.4642,9.19,19790523,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.2978515625
575,Milan,45.4642,9.19,19790524,1200,2 metre temperature,2t,35.0279,45.75,9.0,290.694091796875
579,Milan,45.4642,9.19,19790525,1200,2 metre temperature,2t,35.0279,45.75,9.0,289.7998046875
583,Milan,45.4642,9.19,19790526,1200,2 metre temperature,2t,35.0279,45.75,9.0,290.580078125
587,Milan,45.4642,9.19,19790527,1200,2 metre temperature,2t,35.0279,45.75,9.0,285.43359375
591,Milan,45.4642,9.19,19790528,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.1240234375
595,Milan,45.4642,9.19,19790529,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.2900390625
599,Milan,45.4642,9.19,19790530,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.14697265625
603,Milan,45.4642,9.19,19790531,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.848876953125
607,Milan,45.4642,9.19,19790601,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.298828125
611,Milan,45.4642,9.19,19790602,1200,2 metre temperature,2t,35.0279,45.75,9.0,293.975341796875
615,Milan,45.4642,9.19,19790603,1200,2 metre temperature,2t,35.0279,45.75,9.0,293.207275390625
619,Milan,45.4642,9.19,19790604,1200,2 metre temperature,2t,35.0279,45.75,9.0,298.110107421875
623,Milan,45.4642,9.19,19790605,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.3740234375
627,Milan,45.4642,9.19,19790606,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.603759765625
631,Milan,45.4642,9.19,19790607,1200,2 metre temperature,2t,35.0279,45.75,9.0,290.3046875
635,Milan,45.4642,9.19,19790608,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.67333984375
639,Milan,45.4642,9.19,19790609,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.973876953125
643,Milan,45.4642,9.19,19790610,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.6474609375
647,Milan,45.4642,9.19,19790611,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.54833984375
651,Milan,45.4642,9.19,19790612,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.454833984375
655,Milan,45.4642,9.19,19790613,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.157958984375
659,Milan,45.4642,9.19,19790614,1200,2 metre temperature,2t,35.0279,45.75,9.0,293.201171875
663,Milan,45.4642,9.19,19790615,1200,2 metre temperature,2t,35.0279,45.75,9.0,289.390869140625
667,Milan,45.4642,9.19,19790616,1200,2 metre temperature,2t,35.0279,45.75,9.0,285.66943359375
671,Milan,45.4642,9.19,19790617,1200,2 metre temperature,2t,35.0279,45.75,9.0,287.41796875
675,Milan,45.4642,9.19,19790618,1200,2 metre temperature,2t,35.0279,45.75,9.0,291.01220703125
679,Milan,45.4642,9.19,19790619,1200,2 metre temperature,2t,35.0279,45.75,9.0,288.8408203125
683,Milan,45.4642,9.19,19790620,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.7294921875
687,Milan,45.4642,9.19,19790621,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.239501953125
691,Milan,45.4642,9.19,19790622,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.28564453125
695,Milan,45.4642,9.19,19790623,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.993408203125
699,Milan,45.4642,9.19,19790624,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.814208984375
703,Milan,45.4642,9.19,19790625,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.949951171875
707,Milan,45.4642,9.19,19790626,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.53466796875
711,Milan,45.4642,9.19,19790627,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.152587890625
715,Milan,45.4642,9.19,19790628,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.872314453125
719,Milan,45.4642,9.19,19790629,1200,2 metre temperature,2t,35.0279,45.75,9.0,297.60205078125
723,Milan,45.4642,9.19,19790630,1200,2 metre temperature,2t,35.0279,45.75,9.0,298.50537109375
727,Milan,45.4642,9.19,19790701,1200,2 metre temperature,2t,35.0279,45.75,9.0,291.751708984375
731,Milan,45.4642,9.19,19790702,1200,2 metre temperature,2t,35.0279,45.75,9.0,286.51171875
735,Milan,45.4642,9.19,19790703,1200,2 metre temperature,2t,35.0279,45.75,9.0,288.5595703125
739,Milan,45.4642,9.19,19790704,1200,2 metre temperature,2t,35.0279,45.75,9.0,289.412353515625
743,Milan,45.4642,9.19,19790705,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.278076171875
747,Milan,45.4642,9.19,19790706,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.290771484375
751,Milan,45.4642,9.19,19790707,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.61328125
755,Milan,45.4642,9.19,19790708,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.09912109375
759,Milan,45.4642,9.19,19790709,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.718017578125
763,Milan,45.4642,9.19,19790710,1200,2 metre temperature,2t,35.0279,45.75,9.0,297.69189453125
767,Milan,45.4642,9.19,19790711,1200,2 metre temperature,2t,35.0279,45.75,9.0,293.87109375
771,Milan,45.4642,9.19,19790712,1200,2 metre temperature,2t,35.0279,45.75,9.0,291.896728515625
775,Milan,45.4642,9.19,19790713,1200,2 metre temperature,2t,35.0279,45.75,9.0,293.2783203125
779,Milan,45.4642,9.19,19790714,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.8623046875
783,Milan,45.4642,9.19,19790715,1200,2 metre temperature,2t,35.0279,45.75,9.0,297.452880859375
787,Milan,45.4642,9.19,19790716,1200,2 metre temperature,2t,35.0279,45.75,9.0,297.202880859375
791,Milan,45.4642,9.19,19790717,1200,2 metre temperature,2t,35.0279,45.75,9.0,297.53271484375
795,Milan,45.4642,9.19,19790718,1200,2 metre temperature,2t,35.0279,45.75,9.0,298.48095703125
799,Milan,45.4642,9.19,19790719,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.817626953125
803,Milan,45.4642,9.19,19790720,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.58544921875
807,Milan,45.4642,9.19,19790721,1200,2 metre temperature,2t,35.0279,45.75,9.0,297.352783203125
811,Milan,45.4642,9.19,19790722,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.913818359375
815,Milan,45.4642,9.19,19790723,1200,2 metre temperature,2t,35.0279,45.75,9.0,293.519775390625
819,Milan,45.4642,9.19,19790724,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.962646484375
823,Milan,45.4642,9.19,19790725,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.51416015625
827,Milan,45.4642,9.19,19790726,1200,2 metre temperature,2t,35.0279,45.75,9.0,297.329833984375
831,Milan,45.4642,9.19,19790727,1200,2 metre temperature,2t,35.0279,45.75,9.0,299.359130859375
835,Milan,45.4642,9.19,19790728,1200,2 metre temperature,2t,35.0279,45.75,9.0,299.553955078125
839,Milan,45.4642,9.19,19790729,1200,2 metre temperature,2t,35.0279,45.75,9.0,299.36376953125
843,Milan,45.4642,9.19,19790730,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.240234375
847,Milan,45.4642,9.19,19790731,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.384521484375
851,Milan,45.4642,9.19,19790801,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.80224609375
855,Milan,45.4642,9.19,19790802,1200,2 metre temperature,2t,35.0279,45.75,9.0,297.9140625
859,Milan,45.4642,9.19,19790803,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.751220703125
863,Milan,45.4642,9.19,19790804,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.539794921875
867,Milan,45.4642,9.19,19790805,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.301025390625
871,Milan,45.4642,9.19,19790806,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.467529296875
875,Milan,45.4642,9.19,19790807,1200,2 metre temperature,2t,35.0279,45.75,9.0,297.5068359375
879,Milan,45.4642,9.19,19790808,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.146240234375
883,Milan,45.4642,9.19,19790809,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.8349609375
887,Milan,45.4642,9.19,19790810,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.60009765625
891,Milan,45.4642,9.19,19790811,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.54443359375
895,Milan,45.4642,9.19,19790812,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.289794921875
899,Milan,45.4642,9.19,19790813,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.270263671875
903,Milan,45.4642,9.19,19790814,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.458984375
907,Milan,45.4642,9.19,19790815,1200,2 metre temperature,2t,35.0279,45.75,9.0,297.060302734375
911,Milan,45.4642,9.19,19790816,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.566650390625
915,Milan,45.4642,9.19,19790817,1200,2 metre temperature,2t,35.0279,45.75,9.0,296.759765625
919,Milan,45.4642,9.19,19790818,1200,2 metre temperature,2t,35.0279,45.75,9.0,284.205810546875
923,Milan,45.4642,9.19,19790819,1200,2 metre temperature,2t,35.0279,45.75,9.0,291.744140625
927,Milan,45.4642,9.19,19790820,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.663818359375
931,Milan,45.4642,9.19,19790821,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.32421875
935,Milan,45.4642,9.19,19790822,1200,2 metre temperature,2t,35.0279,45.75,9.0,293.924560546875
939,Milan,45.4642,9.19,19790823,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.9921875
943,Milan,45.4642,9.19,19790824,1200,2 metre temperature,2t,35.0279,45.75,9.0,287.490234375
947,Milan,45.4642,9.19,19790825,1200,2 metre temperature,2t,35.0279,45.75,9.0,290.8466796875
951,Milan,45.4642,9.19,19790826,1200,2 metre temperature,2t,35.0279,45.75,9.0,287.797607421875
955,Milan,45.4642,9.19,19790827,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.191650390625
959,Milan,45.4642,9.19,19790828,1200,2 metre temperature,2t,35.0279,45.75,9.0,289.507080078125
963,Milan,45.4642,9.19,19790829,1200,2 metre temperature,2t,35.0279,45.75,9.0,291.572509765625
967,Milan,45.4642,9.19,19790830,1200,2 metre temperature,2t,35.0279,45.75,9.0,291.25390625
971,Milan,45.4642,9.19,19790831,1200,2 metre temperature,2t,35.0279,45.75,9.0,293.1083984375
975,Milan,45.4642,9.19,19790901,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.603515625
979,Milan,45.4642,9.19,19790902,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.496337890625
983,Milan,45.4642,9.19,19790903,1200,2 metre temperature,2t,35.0279,45.75,9.0,290.513916015625
987,Milan,45.4642,9.19,19790904,1200,2 metre temperature,2t,35.0279,45.75,9.0,293.904052734375
991,Milan,45.4642,9.19,19790905,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.619384765625
995,Milan,45.4642,9.19,19790906,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.510986328125
999,Milan,45.4642,9.19,19790907,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.448974609375
1003,Milan,45.4642,9.19,19790908,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.74658203125
1007,Milan,45.4642,9.19,19790909,1200,2 metre temperature,2t,35.0279,45.75,9.0,295.52978515625
1011,Milan,45.4642,9.19,19790910,1200,2 metre temperature,2t,35.0279,45.75,9.0,292.55322265625
1015,Milan,45.4642,9.19,19790911,1200,2 metre temperature,2t,35.0279,45.75,9.0,293.357666015625
1019,Milan,45.4642,9.19,19790912,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.44189453125
1023,Milan,45.4642,9.19,19790913,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.91552734375
1027,Milan,45.4642,9.19,19790914,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.630859375
1031,Milan,45.4642,9.19,19790915,1200,2 metre temperature,2t,35.0279,45.75,9.0,294.43896484375
1035,Milan,45.4642,9.19,19790916,1200,2 metre temperature,2t,35.0279,45.75,9.0,290.23046875
1039,Milan,45.4642,9.19,19790917,1200,2 metre temperature,2t,35.0279,45.75,9.0,290.443115234375
1043,Milan,45.4642,9.19,19790918,1200,2 metre temperature,2t,35.0279,45.75,9.0,293.270263671875
1047,Milan,45.4642,9.19,19790919,1200,2 metre temperature,2t,35.0279,45.75,9.0,291.802490234375
