,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
2,Bishkek,42.88,74.61,19790101,1200,2 metre temperature,2t,32.7112,42.75,74.25,274.44992065429693
5,Bishkek,42.88,74.61,19790102,1200,2 metre temperature,2t,32.7112,42.75,74.25,276.43679809570307
8,Bishkek,42.88,74.61,19790103,1200,2 metre temperature,2t,32.7112,42.75,74.25,276.1317749023437
11,Bishkek,42.88,74.61,19790104,1200,2 metre temperature,2t,32.7112,42.75,74.25,274.9571533203125
14,Bishkek,42.88,74.61,19790105,1200,2 metre temperature,2t,32.7112,42.75,74.25,276.7574920654297
17,Bishkek,42.88,74.61,19790106,1200,2 metre temperature,2t,32.7112,42.75,74.25,271.93670654296875
20,Bishkek,42.88,74.61,19790107,1200,2 metre temperature,2t,32.7112,42.75,74.25,274.9786834716797
23,Bishkek,42.88,74.61,19790108,1200,2 metre temperature,2t,32.7112,42.75,74.25,270.79385375976557
26,Bishkek,42.88,74.61,19790109,1200,2 metre temperature,2t,32.7112,42.75,74.25,265.85801696777344
29,Bishkek,42.88,74.61,19790110,1200,2 metre temperature,2t,32.7112,42.75,74.25,264.61669921875
32,Bishkek,42.88,74.61,19790111,1200,2 metre temperature,2t,32.7112,42.75,74.25,262.49301147460943
35,Bishkek,42.88,74.61,19790112,1200,2 metre temperature,2t,32.7112,42.75,74.25,261.5252227783203
38,Bishkek,42.88,74.61,19790113,1200,2 metre temperature,2t,32.7112,42.75,74.25,264.2357940673828
41,Bishkek,42.88,74.61,19790114,1200,2 metre temperature,2t,32.7112,42.75,74.25,266.822280883789
44,Bishkek,42.88,74.61,19790115,1200,2 metre temperature,2t,32.7112,42.75,74.25,263.6454620361328
47,Bishkek,42.88,74.61,19790116,1200,2 metre temperature,2t,32.7112,42.75,74.25,259.67222595214844
50,Bishkek,42.88,74.61,19790117,1200,2 metre temperature,2t,32.7112,42.75,74.25,263.821044921875
53,Bishkek,42.88,74.61,19790118,1200,2 metre temperature,2t,32.7112,42.75,74.25,261.9524383544922
56,Bishkek,42.88,74.61,19790119,1200,2 metre temperature,2t,32.7112,42.75,74.25,264.771987915039
59,Bishkek,42.88,74.61,19790120,1200,2 metre temperature,2t,32.7112,42.75,74.25,264.71788024902344
62,Bishkek,42.88,74.61,19790121,1200,2 metre temperature,2t,32.7112,42.75,74.25,266.9619598388672
65,Bishkek,42.88,74.61,19790122,1200,2 metre temperature,2t,32.7112,42.75,74.25,269.9505615234375
68,Bishkek,42.88,74.61,19790123,1200,2 metre temperature,2t,32.7112,42.75,74.25,264.5255126953125
71,Bishkek,42.88,74.61,19790124,1200,2 metre temperature,2t,32.7112,42.75,74.25,266.9659576416016
74,Bishkek,42.88,74.61,19790125,1200,2 metre temperature,2t,32.7112,42.75,74.25,269.5818634033203
77,Bishkek,42.88,74.61,19790126,1200,2 metre temperature,2t,32.7112,42.75,74.25,263.2036590576172
80,Bishkek,42.88,74.61,19790127,1200,2 metre temperature,2t,32.7112,42.75,74.25,256.82872009277344
83,Bishkek,42.88,74.61,19790128,1200,2 metre temperature,2t,32.7112,42.75,74.25,259.215087890625
86,Bishkek,42.88,74.61,19790129,1200,2 metre temperature,2t,32.7112,42.75,74.25,263.2739105224609
89,Bishkek,42.88,74.61,19790130,1200,2 metre temperature,2t,32.7112,42.75,74.25,266.7091522216797
92,Bishkek,42.88,74.61,19790131,1200,2 metre temperature,2t,32.7112,42.75,74.25,266.56825256347656
95,Bishkek,42.88,74.61,19790201,1200,2 metre temperature,2t,32.7112,42.75,74.25,268.8123016357422
98,Bishkek,42.88,74.61,19790202,1200,2 metre temperature,2t,32.7112,42.75,74.25,270.4395294189453
101,Bishkek,42.88,74.61,19790203,1200,2 metre temperature,2t,32.7112,42.75,74.25,274.27499389648443
104,Bishkek,42.88,74.61,19790204,1200,2 metre temperature,2t,32.7112,42.75,74.25,276.6757354736328
107,Bishkek,42.88,74.61,19790205,1200,2 metre temperature,2t,32.7112,42.75,74.25,273.57406616210943
110,Bishkek,42.88,74.61,19790206,1200,2 metre temperature,2t,32.7112,42.75,74.25,276.123275756836
113,Bishkek,42.88,74.61,19790207,1200,2 metre temperature,2t,32.7112,42.75,74.25,273.671875
116,Bishkek,42.88,74.61,19790208,1200,2 metre temperature,2t,32.7112,42.75,74.25,278.08819580078125
119,Bishkek,42.88,74.61,19790209,1200,2 metre temperature,2t,32.7112,42.75,74.25,278.09735107421875
122,Bishkek,42.88,74.61,19790210,1200,2 metre temperature,2t,32.7112,42.75,74.25,274.42730712890625
125,Bishkek,42.88,74.61,19790211,1200,2 metre temperature,2t,32.7112,42.75,74.25,275.7097930908203
128,Bishkek,42.88,74.61,19790212,1200,2 metre temperature,2t,32.7112,42.75,74.25,278.79559326171875
131,Bishkek,42.88,74.61,19790213,1200,2 metre temperature,2t,32.7112,42.75,74.25,271.6099395751953
134,Bishkek,42.88,74.61,19790214,1200,2 metre temperature,2t,32.7112,42.75,74.25,272.6636962890625
137,Bishkek,42.88,74.61,19790215,1200,2 metre temperature,2t,32.7112,42.75,74.25,280.53955078125
140,Bishkek,42.88,74.61,19790216,1200,2 metre temperature,2t,32.7112,42.75,74.25,281.77989196777344
143,Bishkek,42.88,74.61,19790217,1200,2 metre temperature,2t,32.7112,42.75,74.25,282.6474914550781
146,Bishkek,42.88,74.61,19790218,1200,2 metre temperature,2t,32.7112,42.75,74.25,276.079818725586
149,Bishkek,42.88,74.61,19790219,1200,2 metre temperature,2t,32.7112,42.75,74.25,267.417236328125
152,Bishkek,42.88,74.61,19790220,1200,2 metre temperature,2t,32.7112,42.75,74.25,263.44906616210943
155,Bishkek,42.88,74.61,19790221,1200,2 metre temperature,2t,32.7112,42.75,74.25,265.482177734375
158,Bishkek,42.88,74.61,19790222,1200,2 metre temperature,2t,32.7112,42.75,74.25,266.9158935546875
161,Bishkek,42.88,74.61,19790223,1200,2 metre temperature,2t,32.7112,42.75,74.25,268.68174743652344
164,Bishkek,42.88,74.61,19790224,1200,2 metre temperature,2t,32.7112,42.75,74.25,270.2501220703125
167,Bishkek,42.88,74.61,19790225,1200,2 metre temperature,2t,32.7112,42.75,74.25,269.56747436523443
170,Bishkek,42.88,74.61,19790226,1200,2 metre temperature,2t,32.7112,42.75,74.25,272.10284423828125
173,Bishkek,42.88,74.61,19790227,1200,2 metre temperature,2t,32.7112,42.75,74.25,274.2105255126953
176,Bishkek,42.88,74.61,19790228,1200,2 metre temperature,2t,32.7112,42.75,74.25,268.9713897705078
179,Bishkek,42.88,74.61,19790301,1200,2 metre temperature,2t,32.7112,42.75,74.25,265.9907073974609
182,Bishkek,42.88,74.61,19790302,1200,2 metre temperature,2t,32.7112,42.75,74.25,266.71142578125
185,Bishkek,42.88,74.61,19790303,1200,2 metre temperature,2t,32.7112,42.75,74.25,267.2455291748047
188,Bishkek,42.88,74.61,19790304,1200,2 metre temperature,2t,32.7112,42.75,74.25,267.583740234375
191,Bishkek,42.88,74.61,19790305,1200,2 metre temperature,2t,32.7112,42.75,74.25,268.59939575195307
194,Bishkek,42.88,74.61,19790306,1200,2 metre temperature,2t,32.7112,42.75,74.25,267.666015625
197,Bishkek,42.88,74.61,19790307,1200,2 metre temperature,2t,32.7112,42.75,74.25,267.54869079589844
200,Bishkek,42.88,74.61,19790308,1200,2 metre temperature,2t,32.7112,42.75,74.25,267.655029296875
203,Bishkek,42.88,74.61,19790309,1200,2 metre temperature,2t,32.7112,42.75,74.25,270.64031982421875
206,Bishkek,42.88,74.61,19790310,1200,2 metre temperature,2t,32.7112,42.75,74.25,265.35430908203125
209,Bishkek,42.88,74.61,19790311,1200,2 metre temperature,2t,32.7112,42.75,74.25,268.5328826904297
212,Bishkek,42.88,74.61,19790312,1200,2 metre temperature,2t,32.7112,42.75,74.25,271.63336181640625
215,Bishkek,42.88,74.61,19790313,1200,2 metre temperature,2t,32.7112,42.75,74.25,274.5602569580078
218,Bishkek,42.88,74.61,19790314,1200,2 metre temperature,2t,32.7112,42.75,74.25,275.71124267578125
221,Bishkek,42.88,74.61,19790315,1200,2 metre temperature,2t,32.7112,42.75,74.25,277.11532592773443
224,Bishkek,42.88,74.61,19790316,1200,2 metre temperature,2t,32.7112,42.75,74.25,277.22137451171875
227,Bishkek,42.88,74.61,19790317,1200,2 metre temperature,2t,32.7112,42.75,74.25,279.10313415527344
230,Bishkek,42.88,74.61,19790318,1200,2 metre temperature,2t,32.7112,42.75,74.25,271.8579559326172
233,Bishkek,42.88,74.61,19790319,1200,2 metre temperature,2t,32.7112,42.75,74.25,278.0996551513672
236,Bishkek,42.88,74.61,19790320,1200,2 metre temperature,2t,32.7112,42.75,74.25,280.9910430908203
239,Bishkek,42.88,74.61,19790321,1200,2 metre temperature,2t,32.7112,42.75,74.25,283.778076171875
242,Bishkek,42.88,74.61,19790322,1200,2 metre temperature,2t,32.7112,42.75,74.25,281.4060211181641
245,Bishkek,42.88,74.61,19790323,1200,2 metre temperature,2t,32.7112,42.75,74.25,279.983642578125
248,Bishkek,42.88,74.61,19790324,1200,2 metre temperature,2t,32.7112,42.75,74.25,281.761962890625
251,Bishkek,42.88,74.61,19790325,1200,2 metre temperature,2t,32.7112,42.75,74.25,278.184326171875
254,Bishkek,42.88,74.61,19790326,1200,2 metre temperature,2t,32.7112,42.75,74.25,276.9052734375
257,Bishkek,42.88,74.61,19790327,1200,2 metre temperature,2t,32.7112,42.75,74.25,274.5341796875
260,Bishkek,42.88,74.61,19790328,1200,2 metre temperature,2t,32.7112,42.75,74.25,279.37457275390625
263,Bishkek,42.88,74.61,19790329,1200,2 metre temperature,2t,32.7112,42.75,74.25,278.1583709716797
266,Bishkek,42.88,74.61,19790330,1200,2 metre temperature,2t,32.7112,42.75,74.25,277.60693359375
269,Bishkek,42.88,74.61,19790331,1200,2 metre temperature,2t,32.7112,42.75,74.25,277.30712890625
272,Bishkek,42.88,74.61,19790401,1200,2 metre temperature,2t,32.7112,42.75,74.25,279.655029296875
275,Bishkek,42.88,74.61,19790402,1200,2 metre temperature,2t,32.7112,42.75,74.25,278.87109375
278,Bishkek,42.88,74.61,19790403,1200,2 metre temperature,2t,32.7112,42.75,74.25,280.58154296875
281,Bishkek,42.88,74.61,19790404,1200,2 metre temperature,2t,32.7112,42.75,74.25,272.79296875
284,Bishkek,42.88,74.61,19790405,1200,2 metre temperature,2t,32.7112,42.75,74.25,274.126220703125
287,Bishkek,42.88,74.61,19790406,1200,2 metre temperature,2t,32.7112,42.75,74.25,277.412109375
290,Bishkek,42.88,74.61,19790407,1200,2 metre temperature,2t,32.7112,42.75,74.25,279.898681640625
293,Bishkek,42.88,74.61,19790408,1200,2 metre temperature,2t,32.7112,42.75,74.25,280.027099609375
296,Bishkek,42.88,74.61,19790409,1200,2 metre temperature,2t,32.7112,42.75,74.25,280.59912109375
299,Bishkek,42.88,74.61,19790410,1200,2 metre temperature,2t,32.7112,42.75,74.25,271.43885803222656
302,Bishkek,42.88,74.61,19790411,1200,2 metre temperature,2t,32.7112,42.75,74.25,281.447265625
305,Bishkek,42.88,74.61,19790412,1200,2 metre temperature,2t,32.7112,42.75,74.25,285.69322204589844
308,Bishkek,42.88,74.61,19790413,1200,2 metre temperature,2t,32.7112,42.75,74.25,287.545166015625
311,Bishkek,42.88,74.61,19790414,1200,2 metre temperature,2t,32.7112,42.75,74.25,280.06396484375
314,Bishkek,42.88,74.61,19790415,1200,2 metre temperature,2t,32.7112,42.75,74.25,285.955078125
317,Bishkek,42.88,74.61,19790416,1200,2 metre temperature,2t,32.7112,42.75,74.25,286.193603515625
320,Bishkek,42.88,74.61,19790417,1200,2 metre temperature,2t,32.7112,42.75,74.25,283.51806640625
323,Bishkek,42.88,74.61,19790418,1200,2 metre temperature,2t,32.7112,42.75,74.25,276.232421875
326,Bishkek,42.88,74.61,19790419,1200,2 metre temperature,2t,32.7112,42.75,74.25,277.99267578125
329,Bishkek,42.88,74.61,19790420,1200,2 metre temperature,2t,32.7112,42.75,74.25,282.5556640625
332,Bishkek,42.88,74.61,19790421,1200,2 metre temperature,2t,32.7112,42.75,74.25,283.63671875
335,Bishkek,42.88,74.61,19790422,1200,2 metre temperature,2t,32.7112,42.75,74.25,286.19140625
338,Bishkek,42.88,74.61,19790423,1200,2 metre temperature,2t,32.7112,42.75,74.25,285.1689453125
341,Bishkek,42.88,74.61,19790424,1200,2 metre temperature,2t,32.7112,42.75,74.25,283.978271484375
344,Bishkek,42.88,74.61,19790425,1200,2 metre temperature,2t,32.7112,42.75,74.25,277.44482421875
347,Bishkek,42.88,74.61,19790426,1200,2 metre temperature,2t,32.7112,42.75,74.25,280.06005859375
350,Bishkek,42.88,74.61,19790427,1200,2 metre temperature,2t,32.7112,42.75,74.25,279.591064453125
353,Bishkek,42.88,74.61,19790428,1200,2 metre temperature,2t,32.7112,42.75,74.25,279.534423828125
356,Bishkek,42.88,74.61,19790429,1200,2 metre temperature,2t,32.7112,42.75,74.25,284.072509765625
359,Bishkek,42.88,74.61,19790430,1200,2 metre temperature,2t,32.7112,42.75,74.25,286.29833984375
362,Bishkek,42.88,74.61,19790501,1200,2 metre temperature,2t,32.7112,42.75,74.25,283.362060546875
365,Bishkek,42.88,74.61,19790502,1200,2 metre temperature,2t,32.7112,42.75,74.25,281.9208984375
368,Bishkek,42.88,74.61,19790503,1200,2 metre temperature,2t,32.7112,42.75,74.25,286.741943359375
371,Bishkek,42.88,74.61,19790504,1200,2 metre temperature,2t,32.7112,42.75,74.25,285.736572265625
374,Bishkek,42.88,74.61,19790505,1200,2 metre temperature,2t,32.7112,42.75,74.25,286.524658203125
377,Bishkek,42.88,74.61,19790506,1200,2 metre temperature,2t,32.7112,42.75,74.25,278.17724609375
380,Bishkek,42.88,74.61,19790507,1200,2 metre temperature,2t,32.7112,42.75,74.25,274.3564453125
383,Bishkek,42.88,74.61,19790508,1200,2 metre temperature,2t,32.7112,42.75,74.25,277.798828125
386,Bishkek,42.88,74.61,19790509,1200,2 metre temperature,2t,32.7112,42.75,74.25,280.43017578125
389,Bishkek,42.88,74.61,19790510,1200,2 metre temperature,2t,32.7112,42.75,74.25,284.30615234375
392,Bishkek,42.88,74.61,19790511,1200,2 metre temperature,2t,32.7112,42.75,74.25,281.240966796875
395,Bishkek,42.88,74.61,19790512,1200,2 metre temperature,2t,32.7112,42.75,74.25,283.641357421875
398,Bishkek,42.88,74.61,19790513,1200,2 metre temperature,2t,32.7112,42.75,74.25,287.5537109375
401,Bishkek,42.88,74.61,19790514,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.175537109375
404,Bishkek,42.88,74.61,19790515,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.5322265625
407,Bishkek,42.88,74.61,19790516,1200,2 metre temperature,2t,32.7112,42.75,74.25,283.553466796875
410,Bishkek,42.88,74.61,19790517,1200,2 metre temperature,2t,32.7112,42.75,74.25,288.44921875
413,Bishkek,42.88,74.61,19790518,1200,2 metre temperature,2t,32.7112,42.75,74.25,285.7333984375
416,Bishkek,42.88,74.61,19790519,1200,2 metre temperature,2t,32.7112,42.75,74.25,283.552734375
419,Bishkek,42.88,74.61,19790520,1200,2 metre temperature,2t,32.7112,42.75,74.25,284.9013671875
422,Bishkek,42.88,74.61,19790521,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.158935546875
425,Bishkek,42.88,74.61,19790522,1200,2 metre temperature,2t,32.7112,42.75,74.25,289.532470703125
428,Bishkek,42.88,74.61,19790523,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.140869140625
431,Bishkek,42.88,74.61,19790524,1200,2 metre temperature,2t,32.7112,42.75,74.25,288.791748046875
434,Bishkek,42.88,74.61,19790525,1200,2 metre temperature,2t,32.7112,42.75,74.25,280.039794921875
437,Bishkek,42.88,74.61,19790526,1200,2 metre temperature,2t,32.7112,42.75,74.25,285.620849609375
440,Bishkek,42.88,74.61,19790527,1200,2 metre temperature,2t,32.7112,42.75,74.25,276.40869140625
443,Bishkek,42.88,74.61,19790528,1200,2 metre temperature,2t,32.7112,42.75,74.25,280.491943359375
446,Bishkek,42.88,74.61,19790529,1200,2 metre temperature,2t,32.7112,42.75,74.25,287.244384765625
449,Bishkek,42.88,74.61,19790530,1200,2 metre temperature,2t,32.7112,42.75,74.25,283.044677734375
452,Bishkek,42.88,74.61,19790531,1200,2 metre temperature,2t,32.7112,42.75,74.25,276.501220703125
455,Bishkek,42.88,74.61,19790601,1200,2 metre temperature,2t,32.7112,42.75,74.25,284.780517578125
458,Bishkek,42.88,74.61,19790602,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.85986328125
461,Bishkek,42.88,74.61,19790603,1200,2 metre temperature,2t,32.7112,42.75,74.25,292.013427734375
464,Bishkek,42.88,74.61,19790604,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.75341796875
467,Bishkek,42.88,74.61,19790605,1200,2 metre temperature,2t,32.7112,42.75,74.25,288.889404296875
470,Bishkek,42.88,74.61,19790606,1200,2 metre temperature,2t,32.7112,42.75,74.25,292.9326171875
473,Bishkek,42.88,74.61,19790607,1200,2 metre temperature,2t,32.7112,42.75,74.25,291.303955078125
476,Bishkek,42.88,74.61,19790608,1200,2 metre temperature,2t,32.7112,42.75,74.25,289.0576171875
479,Bishkek,42.88,74.61,19790609,1200,2 metre temperature,2t,32.7112,42.75,74.25,288.54736328125
482,Bishkek,42.88,74.61,19790610,1200,2 metre temperature,2t,32.7112,42.75,74.25,289.902587890625
485,Bishkek,42.88,74.61,19790611,1200,2 metre temperature,2t,32.7112,42.75,74.25,281.801025390625
488,Bishkek,42.88,74.61,19790612,1200,2 metre temperature,2t,32.7112,42.75,74.25,286.707275390625
491,Bishkek,42.88,74.61,19790613,1200,2 metre temperature,2t,32.7112,42.75,74.25,287.41015625
494,Bishkek,42.88,74.61,19790614,1200,2 metre temperature,2t,32.7112,42.75,74.25,289.565185546875
497,Bishkek,42.88,74.61,19790615,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.309326171875
500,Bishkek,42.88,74.61,19790616,1200,2 metre temperature,2t,32.7112,42.75,74.25,289.671142578125
503,Bishkek,42.88,74.61,19790617,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.02392578125
506,Bishkek,42.88,74.61,19790618,1200,2 metre temperature,2t,32.7112,42.75,74.25,289.803955078125
509,Bishkek,42.88,74.61,19790619,1200,2 metre temperature,2t,32.7112,42.75,74.25,287.896484375
512,Bishkek,42.88,74.61,19790620,1200,2 metre temperature,2t,32.7112,42.75,74.25,292.16796875
515,Bishkek,42.88,74.61,19790621,1200,2 metre temperature,2t,32.7112,42.75,74.25,292.704833984375
518,Bishkek,42.88,74.61,19790622,1200,2 metre temperature,2t,32.7112,42.75,74.25,293.86181640625
521,Bishkek,42.88,74.61,19790623,1200,2 metre temperature,2t,32.7112,42.75,74.25,291.962158203125
524,Bishkek,42.88,74.61,19790624,1200,2 metre temperature,2t,32.7112,42.75,74.25,291.670654296875
527,Bishkek,42.88,74.61,19790625,1200,2 metre temperature,2t,32.7112,42.75,74.25,295.0615234375
530,Bishkek,42.88,74.61,19790626,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.7607421875
533,Bishkek,42.88,74.61,19790627,1200,2 metre temperature,2t,32.7112,42.75,74.25,287.206787109375
536,Bishkek,42.88,74.61,19790628,1200,2 metre temperature,2t,32.7112,42.75,74.25,284.181640625
539,Bishkek,42.88,74.61,19790629,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.42529296875
542,Bishkek,42.88,74.61,19790630,1200,2 metre temperature,2t,32.7112,42.75,74.25,292.6484375
545,Bishkek,42.88,74.61,19790701,1200,2 metre temperature,2t,32.7112,42.75,74.25,291.420166015625
548,Bishkek,42.88,74.61,19790702,1200,2 metre temperature,2t,32.7112,42.75,74.25,287.31982421875
551,Bishkek,42.88,74.61,19790703,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.623291015625
554,Bishkek,42.88,74.61,19790704,1200,2 metre temperature,2t,32.7112,42.75,74.25,291.593505859375
557,Bishkek,42.88,74.61,19790705,1200,2 metre temperature,2t,32.7112,42.75,74.25,294.90771484375
560,Bishkek,42.88,74.61,19790706,1200,2 metre temperature,2t,32.7112,42.75,74.25,293.8203125
563,Bishkek,42.88,74.61,19790707,1200,2 metre temperature,2t,32.7112,42.75,74.25,294.065185546875
566,Bishkek,42.88,74.61,19790708,1200,2 metre temperature,2t,32.7112,42.75,74.25,296.235107421875
569,Bishkek,42.88,74.61,19790709,1200,2 metre temperature,2t,32.7112,42.75,74.25,295.430419921875
572,Bishkek,42.88,74.61,19790710,1200,2 metre temperature,2t,32.7112,42.75,74.25,296.150390625
575,Bishkek,42.88,74.61,19790711,1200,2 metre temperature,2t,32.7112,42.75,74.25,296.037109375
578,Bishkek,42.88,74.61,19790712,1200,2 metre temperature,2t,32.7112,42.75,74.25,292.637939453125
581,Bishkek,42.88,74.61,19790713,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.937744140625
584,Bishkek,42.88,74.61,19790714,1200,2 metre temperature,2t,32.7112,42.75,74.25,294.583984375
587,Bishkek,42.88,74.61,19790715,1200,2 metre temperature,2t,32.7112,42.75,74.25,297.068115234375
590,Bishkek,42.88,74.61,19790716,1200,2 metre temperature,2t,32.7112,42.75,74.25,297.893798828125
593,Bishkek,42.88,74.61,19790717,1200,2 metre temperature,2t,32.7112,42.75,74.25,297.112060546875
596,Bishkek,42.88,74.61,19790718,1200,2 metre temperature,2t,32.7112,42.75,74.25,298.466064453125
599,Bishkek,42.88,74.61,19790719,1200,2 metre temperature,2t,32.7112,42.75,74.25,299.501220703125
602,Bishkek,42.88,74.61,19790720,1200,2 metre temperature,2t,32.7112,42.75,74.25,291.066162109375
605,Bishkek,42.88,74.61,19790721,1200,2 metre temperature,2t,32.7112,42.75,74.25,292.830078125
608,Bishkek,42.88,74.61,19790722,1200,2 metre temperature,2t,32.7112,42.75,74.25,289.92529296875
611,Bishkek,42.88,74.61,19790723,1200,2 metre temperature,2t,32.7112,42.75,74.25,289.879150390625
614,Bishkek,42.88,74.61,19790724,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.938232421875
617,Bishkek,42.88,74.61,19790725,1200,2 metre temperature,2t,32.7112,42.75,74.25,294.321533203125
620,Bishkek,42.88,74.61,19790726,1200,2 metre temperature,2t,32.7112,42.75,74.25,296.9638671875
623,Bishkek,42.88,74.61,19790727,1200,2 metre temperature,2t,32.7112,42.75,74.25,297.9228515625
626,Bishkek,42.88,74.61,19790728,1200,2 metre temperature,2t,32.7112,42.75,74.25,295.655517578125
629,Bishkek,42.88,74.61,19790729,1200,2 metre temperature,2t,32.7112,42.75,74.25,295.28515625
632,Bishkek,42.88,74.61,19790730,1200,2 metre temperature,2t,32.7112,42.75,74.25,297.9306640625
635,Bishkek,42.88,74.61,19790731,1200,2 metre temperature,2t,32.7112,42.75,74.25,300.2060546875
638,Bishkek,42.88,74.61,19790801,1200,2 metre temperature,2t,32.7112,42.75,74.25,302.228759765625
641,Bishkek,42.88,74.61,19790802,1200,2 metre temperature,2t,32.7112,42.75,74.25,304.210693359375
644,Bishkek,42.88,74.61,19790803,1200,2 metre temperature,2t,32.7112,42.75,74.25,296.953369140625
647,Bishkek,42.88,74.61,19790804,1200,2 metre temperature,2t,32.7112,42.75,74.25,291.611328125
650,Bishkek,42.88,74.61,19790805,1200,2 metre temperature,2t,32.7112,42.75,74.25,289.628173828125
653,Bishkek,42.88,74.61,19790806,1200,2 metre temperature,2t,32.7112,42.75,74.25,291.896728515625
656,Bishkek,42.88,74.61,19790807,1200,2 metre temperature,2t,32.7112,42.75,74.25,292.454345703125
659,Bishkek,42.88,74.61,19790808,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.51708984375
662,Bishkek,42.88,74.61,19790809,1200,2 metre temperature,2t,32.7112,42.75,74.25,291.345947265625
665,Bishkek,42.88,74.61,19790810,1200,2 metre temperature,2t,32.7112,42.75,74.25,292.960693359375
668,Bishkek,42.88,74.61,19790811,1200,2 metre temperature,2t,32.7112,42.75,74.25,295.94091796875
671,Bishkek,42.88,74.61,19790812,1200,2 metre temperature,2t,32.7112,42.75,74.25,295.363525390625
674,Bishkek,42.88,74.61,19790813,1200,2 metre temperature,2t,32.7112,42.75,74.25,292.930908203125
677,Bishkek,42.88,74.61,19790814,1200,2 metre temperature,2t,32.7112,42.75,74.25,296.410888671875
680,Bishkek,42.88,74.61,19790815,1200,2 metre temperature,2t,32.7112,42.75,74.25,297.322998046875
683,Bishkek,42.88,74.61,19790816,1200,2 metre temperature,2t,32.7112,42.75,74.25,295.088134765625
686,Bishkek,42.88,74.61,19790817,1200,2 metre temperature,2t,32.7112,42.75,74.25,293.76806640625
689,Bishkek,42.88,74.61,19790818,1200,2 metre temperature,2t,32.7112,42.75,74.25,297.80322265625
692,Bishkek,42.88,74.61,19790819,1200,2 metre temperature,2t,32.7112,42.75,74.25,288.0322265625
695,Bishkek,42.88,74.61,19790820,1200,2 metre temperature,2t,32.7112,42.75,74.25,288.043212890625
698,Bishkek,42.88,74.61,19790821,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.826171875
701,Bishkek,42.88,74.61,19790822,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.011474609375
704,Bishkek,42.88,74.61,19790823,1200,2 metre temperature,2t,32.7112,42.75,74.25,288.776123046875
707,Bishkek,42.88,74.61,19790824,1200,2 metre temperature,2t,32.7112,42.75,74.25,289.768310546875
710,Bishkek,42.88,74.61,19790825,1200,2 metre temperature,2t,32.7112,42.75,74.25,291.971435546875
713,Bishkek,42.88,74.61,19790826,1200,2 metre temperature,2t,32.7112,42.75,74.25,292.27783203125
716,Bishkek,42.88,74.61,19790827,1200,2 metre temperature,2t,32.7112,42.75,74.25,291.0087890625
719,Bishkek,42.88,74.61,19790828,1200,2 metre temperature,2t,32.7112,42.75,74.25,288.619140625
722,Bishkek,42.88,74.61,19790829,1200,2 metre temperature,2t,32.7112,42.75,74.25,288.9658203125
725,Bishkek,42.88,74.61,19790830,1200,2 metre temperature,2t,32.7112,42.75,74.25,288.765625
728,Bishkek,42.88,74.61,19790831,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.4052734375
731,Bishkek,42.88,74.61,19790901,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.9736328125
734,Bishkek,42.88,74.61,19790902,1200,2 metre temperature,2t,32.7112,42.75,74.25,292.234619140625
737,Bishkek,42.88,74.61,19790903,1200,2 metre temperature,2t,32.7112,42.75,74.25,291.751708984375
740,Bishkek,42.88,74.61,19790904,1200,2 metre temperature,2t,32.7112,42.75,74.25,293.965087890625
743,Bishkek,42.88,74.61,19790905,1200,2 metre temperature,2t,32.7112,42.75,74.25,289.538818359375
746,Bishkek,42.88,74.61,19790906,1200,2 metre temperature,2t,32.7112,42.75,74.25,293.1982421875
749,Bishkek,42.88,74.61,19790907,1200,2 metre temperature,2t,32.7112,42.75,74.25,290.804443359375
752,Bishkek,42.88,74.61,19790908,1200,2 metre temperature,2t,32.7112,42.75,74.25,288.943115234375
755,Bishkek,42.88,74.61,19790909,1200,2 metre temperature,2t,32.7112,42.75,74.25,288.690185546875
758,Bishkek,42.88,74.61,19790910,1200,2 metre temperature,2t,32.7112,42.75,74.25,288.771728515625
761,Bishkek,42.88,74.61,19790911,1200,2 metre temperature,2t,32.7112,42.75,74.25,289.2744140625
764,Bishkek,42.88,74.61,19790912,1200,2 metre temperature,2t,32.7112,42.75,74.25,291.034912109375
767,Bishkek,42.88,74.61,19790913,1200,2 metre temperature,2t,32.7112,42.75,74.25,281.86474609375
770,Bishkek,42.88,74.61,19790914,1200,2 metre temperature,2t,32.7112,42.75,74.25,287.677978515625
